name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
escape_string_warning,on,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,on,on,False
event_source,PostgreSQL,,Reporting and Logging / Where to Log,postmaster,string,default,PostgreSQL,PostgreSQL,False
event_triggers,on,,Client Connection Defaults / Statement Behavior,superuser,bool,default,on,on,False
exit_on_error,off,,Error Handling,user,bool,default,off,off,False
extension_control_path,$system,,Client Connection Defaults / Other Defaults,superuser,string,default,$system,$system,False
external_pid_file,,,File Locations,postmaster,string,default,,,False
extra_float_digits,1,,Client Connection Defaults / Locale and Formatting,user,integer,default,1,1,False
file_copy_method,copy,,Resource Usage / Disk,user,enum,default,copy,copy,False
file_extend_method,write_zeros,,Resource Usage / Disk,sighup,enum,default,write_zeros,write_zeros,False
from_collapse_limit,8,,Query Tuning / Other Planner Options,user,integer,default,8,8,False
fsync,on,,Write-Ahead Log / Settings,sighup,bool,default,on,on,False
full_page_writes,on,,Write-Ahead Log / Settings,sighup,bool,default,on,on,False
geqo,on,,Query Tuning / Genetic Query Optimizer,user,bool,default,on,on,False
geqo_effort,5,,Query Tuning / Genetic Query Optimizer,user,integer,default,5,5,False
geqo_generations,0,,Query Tuning / Genetic Query Optimizer,user,integer,default,0,0,False
geqo_pool_size,0,,Query Tuning / Genetic Query Optimizer,user,integer,default,0,0,False
geqo_seed,0,,Query Tuning / Genetic Query Optimizer,user,real,default,0,0,False
geqo_selection_bias,2,,Query Tuning / Genetic Query Optimizer,user,real,default,2,2,False
geqo_threshold,12,,Query Tuning / Genetic Query Optimizer,user,integer,default,12,12,False
gin_fuzzy_search_limit,0,,Client Connection Defaults / Other Defaults,user,integer,default,0,0,False
gin_pending_list_limit,4096,kB,Client Connection Defaults / Statement Behavior,user,integer,default,4096,4096,False
gss_accept_delegation,off,,Connections and Authentication / Authentication,sighup,bool,default,off,off,False
hash_mem_multiplier,2,,Resource Usage / Memory,user,real,default,2,2,False
hba_file,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data/pg_hba.conf,,File Locations,postmaster,string,override,,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data/pg_hba.conf,False
hot_standby,on,,Replication / Standby Servers,postmaster,bool,default,on,on,False
hot_standby_feedback,off,,Replication / Standby Servers,sighup,bool,default,off,off,False
huge_page_size,0,kB,Resource Usage / Memory,postmaster,integer,default,0,0,False
huge_pages,try,,Resource Usage / Memory,postmaster,enum,default,try,try,False
huge_pages_status,off,,Preset Options,internal,enum,default,unknown,off,False
icu_validation_level,warning,,Client Connection Defaults / Locale and Formatting,user,enum,default,warning,warning,False
ident_file,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data/pg_ident.conf,,File Locations,postmaster,string,override,,C:/Users/Paul/Desktop/dev/surveyCatalyst/postgres/data/pg_ident.conf,False
idle_in_transaction_session_timeout,0,ms,Client Connection Defaults / Statement Behavior,user,integer,default,0,0,False
idle_replication_slot_timeout,0,s,Replication / Sending Servers,sighup,integer,default,0,0,False
idle_session_timeout,0,ms,Client Connection Defaults / Statement Behavior,user,integer,default,0,0,False
ignore_checksum_failure,off,,Developer Options,superuser,bool,default,off,off,False
ignore_invalid_pages,off,,Developer Options,postmaster,bool,default,off,off,False
ignore_system_indexes,off,,Developer Options,backend,bool,default,off,off,False
in_hot_standby,off,,Preset Options,internal,bool,default,off,off,False
integer_datetimes,on,,Preset Options,internal,bool,default,on,on,False
io_combine_limit,16,8kB,Resource Usage / I/O,user,integer,default,16,16,False
io_max_combine_limit,16,8kB,Resource Usage / I/O,postmaster,integer,default,16,16,False
io_max_concurrency,64,,Resource Usage / I/O,postmaster,integer,default,-1,64,False
io_method,worker,,Resource Usage / I/O,postmaster,enum,default,worker,worker,False
io_workers,3,,Resource Usage / I/O,sighup,integer,default,3,3,False
jit,on,,Query Tuning / Other Planner Options,user,bool,default,on,on,False
