name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
jit_above_cost,100000,,Query Tuning / Planner Cost Constants,user,real,default,100000,100000,False
jit_debugging_support,off,,Developer Options,superuser-backend,bool,default,off,off,False
jit_dump_bitcode,off,,Developer Options,superuser,bool,default,off,off,False
jit_expressions,on,,Developer Options,user,bool,default,on,on,False
jit_inline_above_cost,500000,,Query Tuning / Planner Cost Constants,user,real,default,500000,500000,False
jit_optimize_above_cost,500000,,Query Tuning / Planner Cost Constants,user,real,default,500000,500000,False
jit_profiling_support,off,,Developer Options,superuser-backend,bool,default,off,off,False
jit_provider,llvmjit,,Client Connection Defaults / Shared Library Preloading,postmaster,string,default,llvmjit,llvmjit,False
jit_tuple_deforming,on,,Developer Options,user,bool,default,on,on,False
join_collapse_limit,8,,Query Tuning / Other Planner Options,user,integer,default,8,8,False
krb_caseins_users,off,,Connections and Authentication / Authentication,sighup,bool,default,off,off,False
krb_server_keyfile,,,Connections and Authentication / Authentication,sighup,string,default,,,False
lc_messages,C,,Client Connection Defaults / Locale and Formatting,superuser,string,configuration file,,C,False
lc_monetary,C,,Client Connection Defaults / Locale and Formatting,user,string,configuration file,C,C,False
lc_numeric,C,,Client Connection Defaults / Locale and Formatting,user,string,configuration file,C,C,False
lc_time,C,,Client Connection Defaults / Locale and Formatting,user,string,configuration file,C,C,False
listen_addresses,localhost,,Connections and Authentication / Connection Settings,postmaster,string,default,localhost,localhost,False
lo_compat_privileges,off,,Version and Platform Compatibility / Previous PostgreSQL Versions,superuser,bool,default,off,off,False
local_preload_libraries,,,Client Connection Defaults / Shared Library Preloading,user,string,default,,,False
lock_timeout,0,ms,Client Connection Defaults / Statement Behavior,user,integer,default,0,0,False
log_autovacuum_min_duration,600000,ms,Reporting and Logging / What to Log,sighup,integer,default,600000,600000,False
log_checkpoints,on,,Reporting and Logging / What to Log,sighup,bool,default,on,on,False
log_connections,,,Reporting and Logging / What to Log,superuser-backend,string,default,,,False
log_destination,stderr,,Reporting and Logging / Where to Log,sighup,string,default,stderr,stderr,False
log_directory,log,,Reporting and Logging / Where to Log,sighup,string,configuration file,log,log,False
log_disconnections,off,,Reporting and Logging / What to Log,superuser-backend,bool,default,off,off,False
log_duration,off,,Reporting and Logging / What to Log,superuser,bool,default,off,off,False
log_error_verbosity,default,,Reporting and Logging / What to Log,superuser,enum,default,default,default,False
log_executor_stats,off,,Statistics / Monitoring,superuser,bool,default,off,off,False
log_file_mode,0640,,Reporting and Logging / Where to Log,sighup,integer,configuration file,384,416,False
log_filename,postgresql-%Y-%m-%d_%H%M%S.log,,Reporting and Logging / Where to Log,sighup,string,configuration file,postgresql-%Y-%m-%d_%H%M%S.log,postgresql-%Y-%m-%d_%H%M%S.log,False
log_hostname,off,,Reporting and Logging / What to Log,sighup,bool,default,off,off,False
log_line_prefix,%m [%p] ,,Reporting and Logging / What to Log,sighup,string,default,%m [%p] ,%m [%p] ,False
log_lock_failures,off,,Reporting and Logging / What to Log,superuser,bool,default,off,off,False
log_lock_waits,off,,Reporting and Logging / What to Log,superuser,bool,default,off,off,False
log_min_duration_sample,-1,ms,Reporting and Logging / When to Log,superuser,integer,default,-1,-1,False
log_min_duration_statement,-1,ms,Reporting and Logging / When to Log,superuser,integer,default,-1,-1,False
log_min_error_statement,error,,Reporting and Logging / When to Log,superuser,enum,default,error,error,False
log_min_messages,info,,Reporting and Logging / When to Log,superuser,enum,configuration file,warning,info,False
log_parameter_max_length,-1,B,Reporting and Logging / What to Log,superuser,integer,default,-1,-1,False
log_parameter_max_length_on_error,0,B,Reporting and Logging / What to Log,user,integer,default,0,0,False
log_parser_stats,off,,Statistics / Monitoring,superuser,bool,default,off,off,False
log_planner_stats,off,,Statistics / Monitoring,superuser,bool,default,off,off,False
log_recovery_conflict_waits,off,,Reporting and Logging / What to Log,sighup,bool,default,off,off,False
log_replication_commands,off,,Reporting and Logging / What to Log,superuser,bool,default,off,off,False
log_rotation_age,1440,min,Reporting and Logging / Where to Log,sighup,integer,default,1440,1440,False
log_rotation_size,10240,kB,Reporting and Logging / Where to Log,sighup,integer,default,10240,10240,False
log_startup_progress_interval,10000,ms,Reporting and Logging / When to Log,sighup,integer,default,10000,10000,False
log_statement,none,,Reporting and Logging / What to Log,superuser,enum,configuration file,none,none,False
log_statement_sample_rate,1,,Reporting and Logging / When to Log,superuser,real,default,1,1,False
log_statement_stats,off,,Statistics / Monitoring,superuser,bool,default,off,off,False
log_temp_files,-1,kB,Reporting and Logging / What to Log,superuser,integer,default,-1,-1,False
log_timezone,Europe/Berlin,,Reporting and Logging / What to Log,sighup,string,configuration file,GMT,Europe/Berlin,False
log_transaction_sample_rate,0,,Reporting and Logging / When to Log,superuser,real,default,0,0,False
log_truncate_on_rotation,off,,Reporting and Logging / Where to Log,sighup,bool,default,off,off,False
logging_collector,on,,Reporting and Logging / Where to Log,postmaster,bool,configuration file,off,on,False
logical_decoding_work_mem,65536,kB,Resource Usage / Memory,user,integer,default,65536,65536,False
maintenance_io_concurrency,16,,Resource Usage / I/O,user,integer,default,16,16,False
maintenance_work_mem,65536,kB,Resource Usage / Memory,user,integer,default,65536,65536,False
max_active_replication_origins,10,,Replication / Subscribers,postmaster,integer,default,10,10,False
max_connections,100,,Connections and Authentication / Connection Settings,postmaster,integer,configuration file,100,100,False
max_files_per_process,1000,,Resource Usage / Kernel Resources,postmaster,integer,default,1000,1000,False
max_function_args,100,,Preset Options,internal,integer,default,100,100,False
max_identifier_length,63,,Preset Options,internal,integer,default,63,63,False
max_index_keys,32,,Preset Options,internal,integer,default,32,32,False
max_locks_per_transaction,64,,Lock Management,postmaster,integer,default,64,64,False
max_logical_replication_workers,4,,Replication / Subscribers,postmaster,integer,default,4,4,False
max_notify_queue_pages,1048576,,Resource Usage / Disk,postmaster,integer,default,1048576,1048576,False
max_parallel_apply_workers_per_subscription,2,,Replication / Subscribers,sighup,integer,default,2,2,False
max_parallel_maintenance_workers,2,,Resource Usage / Worker Processes,user,integer,default,2,2,False
max_parallel_workers,8,,Resource Usage / Worker Processes,user,integer,default,8,8,False
max_parallel_workers_per_gather,2,,Resource Usage / Worker Processes,user,integer,default,2,2,False
max_pred_locks_per_page,2,,Lock Management,sighup,integer,default,2,2,False
max_pred_locks_per_relation,-2,,Lock Management,sighup,integer,default,-2,-2,False
max_pred_locks_per_transaction,64,,Lock Management,postmaster,integer,default,64,64,False
max_prepared_transactions,0,,Resource Usage / Memory,postmaster,integer,default,0,0,False
max_replication_slots,10,,Replication / Sending Servers,postmaster,integer,default,10,10,False
max_slot_wal_keep_size,-1,MB,Replication / Sending Servers,sighup,integer,default,-1,-1,False
max_stack_depth,2048,kB,Resource Usage / Memory,superuser,integer,default,100,2048,False
max_standby_archive_delay,30000,ms,Replication / Standby Servers,sighup,integer,default,30000,30000,False
max_standby_streaming_delay,30000,ms,Replication / Standby Servers,sighup,integer,default,30000,30000,False
max_sync_workers_per_subscription,2,,Replication / Subscribers,sighup,integer,default,2,2,False
max_wal_senders,10,,Replication / Sending Servers,postmaster,integer,default,10,10,False
max_wal_size,1024,MB,Write-Ahead Log / Checkpoints,sighup,integer,configuration file,1024,1024,False
max_worker_processes,8,,Resource Usage / Worker Processes,postmaster,integer,default,8,8,False
